runningId,oid_mivne,id_binyan,t_sug_mivne,ms_komot,shem_mivne,t_amudim,id_binyan_orig,gova2009
,23934,25474,____ ____,3,,__,69252,15
,23935,25475,____ ____,3,,__,69465,15
,23936,25476,____ ____,4,,__,76882,21
,23937,25477,____ ____,3,,__,81755,17
,23938,25478,____ ____,6,,__,66231,22
,23939,25479,____ ____,4,,__,76849,16
,23940,25480,____ ____,3,,__,69841,17
,23942,25482,____ ____,3,,__,76884,19
,23943,25483,____ ____,3,,__,76881,12
,23944,25484,____ ____,5,,__,66234,17
,23945,25485,____ ____,3,,__,81757,15
,23946,25486,____ ____,3,,__,69847,14
,23947,25487,____ ____,2,,__,130310,6
,23948,25488,____ ____,4,,__,69854,19
,23949,25489,____ ____,5,,__,76868,22
,23951,25491,____ ____,3,,__,66246,17
,23952,25492,____ ____,3,,__,69903,17
,23953,25493,____ ____,3,,__,65784,15
,23954,25494,____ ____,3,,__,66248,12
,23955,25495,____ ____,6,,__,65786,24
,23956,25497,____ ____,3,,__,50847,17
,23957,25498,____ ____,5,,__,65788,24
,23958,25499,____ ____,4,,__,66251,17
,23959,25500,____ ____,4,,__,69947,12
,23960,25501,____ ____,3,,__,69879,12
,23961,25502,____ ____,3,,__,69886,14
,23962,25503,____ ____,3,,__,130152,15
,23963,25504,____ ____,3,,__,69887,14
,23964,25505,____ ____,4,,__,69881,16
,23965,25506,____ ____,3,,__,69715,18
,23966,25507,____ ____,6,,__,69710,27
,23967,25508,____ ____,6,,__,69708,24
,23968,25509,____ ____,4,,__,69705,25
,23969,25510,____ ____,4,,__,69713,24
,23970,25511,____ ____,3,,__,76866,18
,23971,25512,____ ____,3,,__,69855,18
,23972,25513,____ ____,4,,__,69722,17
,23973,25514,____ ____,3,,__,74527,14
,23974,25515,____ ____,3,,__,69950,20
,23975,25516,____ ____,3,,__,66264,16
,23976,25517,____ ____,3,,__,74515,18
,23977,25518,____ ____,4,,__,74513,19
,23978,25519,____ ____,4,,__,66037,18
,24002,25543,____ ____,4,,__,66070,17
,24003,25544,____ ____,4,,__,66069,17
,24004,25545,____ ____,4,,__,66066,18
,24005,25546,____ ____,4,,__,66065,20
,24011,25552,____ ____,5,,__,65974,21
,24012,25553,____ ____,3,,__,66203,15
,24036,25578,____ ____,5,,__,66035,16
,24037,25579,____ ____,4,,__,66031,15
,24038,25580,____ ____,4,,__,66033,15
,24039,25581,____ ____,3,,__,66029,14
,24040,25582,____ ____,2,,__,69195,10
,24041,25583,____ ____,5,,__,56268,20
,24042,25584,____ ____,4,,__,66019,20
,24043,25585,____ ____,3,,__,66015,20
,24044,25586,____ ____,1,,__,66023,7
,24045,25587,____ ____,4,,__,66021,15
,24053,25595,____ ____,3,,__,66056,12
,24055,25597,____ ____,3,,__,66058,16
,24056,25598,____ ____,4,,__,66047,19
,24057,25599,____ ____,4,,__,66045,19
,24058,25600,____ ____,4,,__,66041,16
,24059,25601,____ ____,4,,__,130065,16
